playerID,yearID,teamID,G,AB,R,H,X2B,X3B,HR,BB,HBP,SF,salary
mastnto01,2006,CLE,15,0,0,0,0,0,0,0,0,0,381500
mateoju01,2006,SEA,48,0,0,0,0,0,0,0,0,0,1075000
mateoju02,2006,CHN,12,12,1,0,0,0,0,0,0,0,383000
mathisc01,2006,PHI,9,7,0,1,0,0,0,0,0,0,380000
matsuhi01,2006,NYA,51,172,32,52,9,0,8,27,0,2,13000000
matsuka01,2006,COL,32,113,22,39,6,3,2,10,0,2,1500000
matsuka01,2006,NYN,38,130,10,26,6,0,1,6,0,0,1500000
matthga02,2006,TEX,147,620,102,194,44,6,19,58,4,8,6400000
mauerjo01,2006,MIN,140,521,86,181,36,4,13,79,1,7,3750000
mcanupa01,2006,SDN,16,13,3,3,1,0,1,2,0,0,380300
mcbrima01,2006,ATL,71,0,0,0,0,0,0,0,0,0,400000
mccanbr01,2006,ATL,130,442,61,147,34,0,24,41,3,6,440000
mccarbr01,2006,CHA,53,1,0,0,0,0,0,0,0,0,396068
mcdonjo03,2006,TOR,104,260,35,58,7,3,3,16,2,2,750000
mclou01,2006,PIT,106,270,50,63,16,2,7,18,5,1,392000
mcpheda01,2006,LAA,40,115,16,30,4,0,7,6,0,0,382500
mechegi01,2006,SEA,32,4,0,0,0,0,0,0,0,0,7400000
meddebr01,2006,ARI,60,2,0,0,0,0,0,0,0,0,390500
melhuad01,2006,OAK,49,128,10,28,8,0,4,9,1,1,815000
menchke01,2006,MIL,40,126,9,29,6,1,1,4,0,3,3400000
menchke01,2006,TEX,87,320,36,91,18,1,12,23,4,2,3400000
meredcl01,2006,SDN,45,0,0,0,0,0,0,0,0,0,387000
mesajo01,2006,COL,79,1,0,0,0,0,0,0,0,0,2500000
messera01,2006,FLO,59,2,0,0,0,0,0,0,0,0,380000
michaja01,2006,CLE,123,494,77,132,32,1,9,43,3,6,2050000
mientdo01,2006,KCA,91,314,37,89,24,2,4,35,5,5,1500000
milesaa01,2006,SLN,135,426,48,112,20,5,2,38,2,3,1000000
millake01,2006,BAL,132,430,64,117,26,0,15,59,12,2,2750000
milleda02,2006,MIL,101,331,34,83,28,0,6,33,4,5,2250000
millela02,2006,NYN,56,166,14,40,7,2,4,12,5,1,383000
millema02,2006,CLE,14,0,0,0,0,0,0,0,0,0,560000
milletr02,2006,HOU,70,0,0,0,0,0,0,0,0,0,1300000
millewa04,2006,CHN,5,7,0,1,0,0,0,0,0,0,1500000
millwke01,2006,TEX,34,5,0,0,0,0,0,0,0,0,9836116
miltoer01,2006,CIN,28,49,8,11,3,1,0,2,0,1,10333333
mirabdo01,2006,BOS,59,161,12,31,6,0,6,11,4,0,750000
mirabdo01,2006,SDN,14,22,1,4,1,0,0,4,0,0,750000
mitrese01,2006,FLO,16,12,2,2,1,0,0,0,0,0,380000
moehlbr01,2006,FLO,31,31,1,2,0,0,0,1,1,0,500000
moellch01,2006,MIL,29,98,9,18,3,0,2,4,2,0,700000
molinbe01,2006,TOR,117,433,44,123,20,1,19,19,4,2,4000000
molinjo01,2006,LAA,78,225,18,54,17,0,4,9,2,2,1350000
molinya01,2006,SLN,129,417,29,90,26,0,6,26,8,2,525000
monrocr01,2006,DET,147,541,89,138,35,2,28,37,1,6,4775000
montemi01,2006,ARI,6,16,0,4,1,0,0,1,0,0,380000
morame01,2006,BAL,155,624,96,171,25,0,16,54,14,7,7758503
morneju01,2006,MIN,157,592,97,190,37,1,34,53,5,11,4500000
morrima01,2006,SFN,33,60,2,12,4,0,0,1,0,0,10037283
moseldu01,2006,LAA,3,0,0,0,0,0,0,0,0,0,380500
motagu01,2006,CLE,34,0,0,0,0,0,0,0,0,0,1800000
motagu01,2006,NYN,18,0,0,0,0,0,0,0,0,0,1800000
moyerja01,2006,PHI,8,18,1,1,0,0,0,1,0,0,6500000
moyerja01,2006,SEA,25,3,0,1,0,0,0,0,0,0,6500000
muldema01,2006,SLN,17,25,5,7,2,0,1,5,0,0,4500000
murphto03,2006,LAA,48,70,12,16,4,1,1,5,0,1,382500
murtoma01,2006,CHN,144,455,70,135,22,3,13,45,5,2,415000
mussimi01,2006,NYA,32,4,0,0,0,0,0,0,0,0,11070423
myersbr01,2006,PHI,31,63,1,2,0,0,0,4,0,0,5083333
myersmi01,2006,NYA,62,0,0,0,0,0,0,0,0,0,1250000
dyxa01,2006,NYN,75,265,37,70,15,1,14,19,6,1,2150000
dyxa01,2006,PIT,55,203,20,61,13,0,3,11,5,0,2150000
polmi01,2006,LAA,99,268,47,61,13,0,16,51,5,1,395000
thajo01,2006,MIN,64,1,0,0,0,0,0,0,0,0,5250000
vardi01,2006,TBA,56,193,23,47,7,0,4,20,1,1,399800
vardi01,2006,LAN,25,75,5,21,2,0,2,11,0,0,399800
nelsojo01,2006,KCA,43,0,0,0,0,0,0,0,0,0,394000
neshepa01,2006,MIN,32,0,0,0,0,0,0,0,0,0,395000
